Date,Close_itx,Close_bbva,Close_acs,Close_san,Close_ibex
2011-10-21,13.7,6.29,27.248159,5.679954,8853.0
2011-10-24,13.674,6.4,27.925287,5.768556,8957.099609
2011-10-25,13.608,6.31,27.668276,5.716715,8879.599609
2011-10-26,13.58,6.228,27.633678,5.642251,8832.5
2011-10-27,13.66,6.864,28.567816,6.067353,9270.5
2011-10-28,13.452,6.926,28.256435,6.056042,9224.400391
2011-10-31,13.152,6.562,27.134481,5.822283,8954.900391
2011-11-01,12.788,6.3,26.096552,5.545166,8579.599609
2011-11-02,12.52,6.165,25.849424,5.470703,8574.5
2011-11-03,12.866,6.299,26.625402,5.536683,8712.599609
2011-11-04,12.978,6.125,25.923563,5.489554,8596.400391
2011-11-07,12.91,6.069,26.145977,5.355709,8476.400391
2011-11-08,12.956,6.08,26.141033,5.382101,8518.5
2011-11-09,12.848,5.92,25.350229,5.252968,8340.599609
2011-11-10,12.71,5.891,25.379885,5.254853,8310.900391
2011-11-11,13.16,6.172,25.814827,5.473531,8556.099609
2011-11-14,13.094,5.972,24.939999,5.325546,8372.200195
2011-11-15,13.062,5.8,24.030575,5.191701,8237.599609
2011-11-16,12.99,5.903,24.09977,5.284073,8304.099609
2011-11-17,13.086,5.89,23.931725,5.208667,8270.599609
2011-11-18,13.048,5.922,23.94655,5.252026,8310.099609
2011-11-21,12.72,5.716,22.715862,5.071051,8021.0
2011-11-22,12.832,5.608,22.038734,4.93532,7904.899902
2011-11-23,12.39,5.497,21.588964,4.835408,7739.299805
2011-11-24,12.246,5.522,21.495056,4.855202,7721.799805
2011-11-25,12.0,5.603,21.623564,4.921182,7763.5
2011-11-28,12.242,5.95,22.567587,5.18039,8119.899902
2011-11-29,12.058,5.928,22.686207,5.172849,8128.0
2011-11-30,12.606,6.274,23.74885,5.277475,8449.5
2011-12-01,12.73,6.22,23.353449,5.236944,8421.0
2011-12-02,12.71,6.452,23.590689,5.451851,8558.599609
2011-12-05,12.65,6.629,23.916897,5.589467,8705.799805
2011-12-06,12.714,6.71,23.719194,5.629998,8712.799805
2011-12-07,12.65,6.576,23.714252,5.612089,8644.299805
2011-12-08,12.4,6.37,22.730688,5.499923,8461.200195
2011-12-09,12.68,6.52,23.165632,5.628113,8649.700195
2011-12-12,12.508,6.264,22.429195,5.390584,8381.0
2011-12-13,12.34,6.12,22.345173,5.311408,8327.799805
2011-12-14,12.55,6.014,21.682873,5.185103,8182.0
2011-12-15,12.842,6.158,21.934942,5.264279,8250.400391
2011-12-16,12.452,6.15,22.359999,5.278418,8203.400391
2011-12-19,12.5,6.2,22.295748,5.278418,8253.0
2011-12-20,12.548,6.47,22.86908,5.466933,8454.400391
2011-12-21,12.428,6.45,22.335287,5.388699,8378.400391
2011-12-22,12.48,6.541,22.478621,5.448081,8462.900391
2011-12-23,12.62,6.596,22.735632,5.499923,8542.700195
2011-12-27,12.62,6.59,22.725746,5.478243,8529.599609
2011-12-28,12.466,6.395,22.335287,5.353824,8358.400391
2011-12-29,12.626,6.54,22.577471,5.467875,8487.900391
2011-12-30,12.656,6.68,22.636782,5.532913,8566.299805
2012-01-02,12.848,6.795,22.982758,5.6234,8723.8
2012-01-03,12.78,6.835,23.328735,5.676184,8732.400391
2012-01-04,12.82,6.634,22.878965,5.457507,8581.799805
2012-01-05,12.584,6.3,21.944826,5.211495,8329.599609
2012-01-06,12.61,6.229,21.984367,5.137031,8289.099609
2012-01-09,12.796,6.06,21.796551,5.132319,8278.900391
2012-01-10,13.09,6.285,22.246321,5.410378,8472.900391
2012-01-11,13.084,6.284,22.508274,5.392469,8426.799805
2012-01-12,12.946,6.331,22.513218,5.354766,8427.0
2012-01-13,12.91,6.399,22.63184,5.419804,8450.599609
2012-01-16,13.012,6.443,22.735632,5.334972,8449.599609
2012-01-17,13.19,6.53,23.165632,5.391527,8535.299805
2012-01-18,13.3,6.44,22.320459,5.287843,8420.700195
2012-01-19,13.234,6.75,22.686207,5.553649,8603.799805
2012-01-20,13.386,6.761,22.607126,5.572501,8561.900391
2012-01-23,13.438,6.851,22.82954,5.636596,8619.599609
2012-01-24,13.454,6.83,22.61701,5.636596,8591.400391
2012-01-25,13.414,6.799,22.444021,5.673356,8555.400391
2012-01-26,13.676,6.968,23.042068,5.804374,8713.799805
2012-01-27,13.422,6.899,23.042068,5.796834,8657.299805
2012-01-30,13.414,6.736,22.542873,5.640366,8517.0
2012-01-31,13.34,6.674,23.308966,5.608319,8509.200195
2012-02-01,13.576,6.891,23.976206,5.809087,8696.599609
2012-02-02,13.71,7.05,24.322184,5.942933,8772.299805
2012-02-03,13.646,7.192,24.613792,6.056984,8861.200195
2012-02-06,13.49,7.221,24.801609,6.126735,8835.299805
2012-02-07,13.484,7.255,23.570919,6.168208,8846.900391
2012-02-08,13.516,7.221,23.358391,6.147471,8849.299805
2012-02-09,13.548,7.295,23.773563,6.216279,8902.099609
2012-02-10,13.714,7.14,23.229885,6.092802,8797.099609
2012-02-13,13.606,7.14,23.328735,6.107883,8788.299805
2012-02-14,13.624,7.124,23.131035,6.053214,8771.900391
2012-02-15,13.654,7.09,22.933332,6.079606,8741.599609
2012-02-16,13.546,6.8,22.740574,5.924081,8558.099609
2012-02-17,13.642,6.9,23.150805,6.044731,8657.0
2012-02-20,13.866,7.1,23.472069,6.188002,8818.099609
2012-02-21,13.754,7.07,23.333677,6.170093,8767.099609
2012-02-22,13.754,6.888,23.961378,6.006085,8657.0
2012-02-23,13.852,6.771,22.765287,5.927852,8527.700195
2012-02-24,13.806,6.774,22.493448,5.922196,8527.700195
2012-02-27,13.81,6.759,22.463793,5.909943,8537.200195
2012-02-28,13.9,6.75,22.557701,5.909,8526.700195
2012-02-29,13.862,6.729,22.078276,5.869412,8465.900391
2012-03-01,13.814,6.81,21.514828,5.97121,8547.700195
2012-03-02,13.866,6.814,21.445633,5.994774,8563.400391
2012-03-05,13.728,6.694,21.050228,5.87224,8453.5
2012-03-06,13.324,6.331,20.50161,5.609261,8166.600098
2012-03-07,13.394,6.305,20.639999,5.655448,8161.799805
2012-03-08,13.57,6.52,20.941494,5.820398,8307.400391
2012-03-09,13.522,6.456,21.302298,5.769499,8282.700195
2012-03-12,13.6,6.299,20.961264,5.633768,8180.200195
2012-03-13,13.788,6.493,21.524712,5.8138,8376.799805
2012-03-14,13.956,6.502,21.648275,5.85056,8391.099609
2012-03-15,14.024,6.55,21.776781,5.885436,8426.700195
2012-03-16,14.26,6.665,21.623564,5.972153,8486.299805
2012-03-19,14.306,6.748,21.905287,6.093745,8591.799805
2012-03-20,14.348,6.68,21.712528,6.020224,8567.5
2012-03-21,14.44,6.485,21.336897,5.874125,8490.900391
2012-03-22,14.318,6.313,20.812988,5.74405,8353.599609
2012-03-23,14.3,6.241,20.857471,5.68938,8281.799805
2012-03-26,14.416,6.153,20.032068,5.633768,8224.700195
2012-03-27,14.382,6.06,19.735518,5.560247,8140.299805
2012-03-28,14.414,5.926,18.880459,5.452794,7980.799805
2012-03-29,14.174,5.855,18.880459,5.351938,7911.0
2012-03-30,14.364,5.967,18.969425,5.438655,8008.0
2012-04-02,14.702,5.974,18.880459,5.447139,8042.799805
2012-04-03,14.6,5.704,18.672873,5.232231,7824.5
2012-04-04,14.24,5.61,18.326897,5.099328,7660.700195
2012-04-05,14.328,5.603,18.050114,5.099328,7660.5
2012-04-10,13.908,5.4,17.481724,4.901388,7433.600098
2012-04-11,13.978,5.604,17.990805,4.998473,7576.700195
2012-04-12,14.164,5.504,17.348274,4.929665,7520.0
2012-04-13,13.762,5.332,16.804598,4.580912,7250.600098
2012-04-16,13.948,5.153,16.414137,4.551693,7209.100098
2012-04-17,14.27,5.346,17.303793,4.722299,7373.299805
