Date,Close_bbva,Close_bankinter,Close_sabadell,Close_santander,Close_ibex
2011-09-07,5.72,1.161029,1.579861,5.430172,8156.600098
2011-09-08,5.819,1.182013,1.60281,5.515946,8277.799805
2011-09-09,5.434,1.117203,1.541814,5.205839,7910.200195
2011-09-12,5.144,1.073072,1.491688,4.961713,7640.700195
2011-09-13,5.401,1.104857,1.504975,5.17662,7834.200195
2011-09-14,5.551,1.155163,1.527924,5.307637,8045.700195
2011-09-15,5.85,1.209789,1.558724,5.580042,8337.900391
2011-09-16,5.95,1.204234,1.56899,5.580042,8388.400391
2011-09-19,5.781,1.203308,1.567179,5.454679,8222.700195
2011-09-20,5.902,1.200531,1.576237,5.570616,8362.200195
2011-09-21,5.7,1.171213,1.570198,5.42923,8210.299805
2011-09-22,5.389,1.114115,1.54423,5.157768,7830.799805
2011-09-23,5.675,1.13572,1.559932,5.397182,7996.899902
2011-09-26,5.891,1.222751,1.573218,5.576271,8201.700195
2011-09-27,6.238,1.266267,1.607037,5.821341,8531.900391
2011-09-28,6.159,1.252994,1.617908,5.735566,8480.200195
2011-09-29,6.29,1.28077,1.620928,5.830766,8592.5
2011-09-30,6.18,1.263489,1.621532,5.866584,8546.599609
2011-10-03,5.96,1.256082,1.582881,5.661103,8353.799805
2011-10-04,5.897,1.217812,1.556912,5.574386,8225.400391
2011-10-05,6.176,1.248365,1.597979,5.732739,8477.299805
2011-10-06,6.348,1.290955,1.626363,5.90523,8704.799805
2011-10-07,6.45,1.329225,1.633006,5.970267,8798.400391
2011-10-10,6.52,1.361015,1.634818,5.985349,8892.400391
2011-10-11,6.45,1.362866,1.637234,5.929737,8845.5
2011-10-12,6.706,1.401752,1.645689,6.046616,9026.5
2011-10-13,6.499,1.370273,1.614285,5.936335,8943.5
2011-10-14,6.455,1.382615,1.613681,5.87224,8975.5
2011-10-17,6.37,1.375208,1.619116,5.715772,8864.299805
2011-10-18,6.31,1.330767,1.618512,5.720485,8811.299805
2011-10-19,6.454,1.364408,1.61972,5.796834,8849.5
2011-10-20,6.136,1.327063,1.560535,5.518774,8608.200195
2011-10-21,6.29,1.34558,1.584692,5.679954,8853.0
2011-10-24,6.4,1.364098,1.590732,5.768556,8957.099609
2011-10-25,6.31,1.354839,1.593147,5.716715,8879.599609
2011-10-26,6.228,1.351136,1.577445,5.642251,8832.5
